tags,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,owner_reputation,owner_user_id,owner_user_type,owner_profile_image,owner_display_name,owner_link,last_edit_date,closed_date,closed_reason,owner_accept_rate,insert_date
"data-science,pandas,python,xml",False,34,None,1,2,1653640443,1653552199,72388656,CC BY-SA 4.0,https://stackoverflow.com/questions/72388656/expanding-xml-data-column-in-pandas-dataframe-and-save-it-as-new-columns,Expanding XML data column in Pandas dataframe and save it as new columns,21,19204667,registered,https://www.gravatar.com/avatar/a92ddca49b52e21741a17093ed9210f3?s=256&d=identicon&r=PG,babyyoda,https://stackoverflow.com/users/19204667/babyyoda,None,None,None,None,2022-05-26
"excel,markdown,pandas,python",False,48,None,0,2,1653535690,1653531373,72385987,CC BY-SA 4.0,https://stackoverflow.com/questions/72385987/how-to-change-sub-string-color-of-a-row-of-a-data-frame,How to change sub-string color of a row of a data-frame?,1720,6907424,registered,https://www.gravatar.com/avatar/c98bd1b7f19d6de9dd1b972eac5d5167?s=256&d=identicon&r=PG&f=1,hafiz031,https://stackoverflow.com/users/6907424/hafiz031,1653535690.0,None,None,None,2022-05-26
"json,pandas,python",True,28,72385850.0,2,2,1653529954,1653528761,72385735,CC BY-SA 4.0,https://stackoverflow.com/questions/72385735/convert-pandas-dataframe-to-nested-json-without-nesting-as-lists,Convert Pandas dataframe to nested JSON (without nesting as lists),45,17129771,registered,https://www.gravatar.com/avatar/85e34c44612d0393c073167f14963371?s=256&d=identicon&r=PG,Wags,https://stackoverflow.com/users/17129771/wags,1653529504.0,None,None,None,2022-05-26
"join,pandas,python",True,43,72385761.0,3,1,1653796529,1653526119,72385537,CC BY-SA 4.0,https://stackoverflow.com/questions/72385537/how-to-join-in-pandas-on-a-date-b-date-and-then-taking-the-only-the-row-where-a,How to join in pandas on a.date&lt;=b.date and then taking the only the row where a.date is max?,39,14276532,registered,https://www.gravatar.com/avatar/804aefe44ea94b58382879f92597ad66?s=256&d=identicon&r=PG&f=1,lacrucec38x,https://stackoverflow.com/users/14276532/lacrucec38x,None,None,None,None,2022-05-26
"dataframe,dictionary,pandas",True,43,72397713.0,2,1,1653600549,1653594542,72397304,CC BY-SA 4.0,https://stackoverflow.com/questions/72397304/create-dictionary-from-pandas-dataframe,Create dictionary from pandas dataframe,15,4930877,registered,https://www.gravatar.com/avatar/249e7bbd4ad28b3e953901a7c7031597?s=256&d=identicon&r=PG&f=1,user350426,https://stackoverflow.com/users/4930877/user350426,None,None,None,None,2022-05-26
"dataframe,pandas,python,resample",True,19,72395919.0,1,1,1653586768,1653584848,72395569,CC BY-SA 4.0,https://stackoverflow.com/questions/72395569/resample-dataframe-and-divide-values-over-new-sample-frequency,resample dataframe and divide values over new sample frequency,165,13897544,registered,https://www.gravatar.com/avatar/827458896237603a7177dfd6801949f5?s=256&d=identicon&r=PG&f=1,normal_human,https://stackoverflow.com/users/13897544/normal-human,None,None,None,None,2022-05-26
"dataframe,pandas",True,29,None,3,1,1653576083,1653572333,72392770,CC BY-SA 4.0,https://stackoverflow.com/questions/72392770/pandas-dataframe-merge-without-duplicating-items,Pandas dataframe merge without duplicating items,4442,443878,registered,https://i.stack.imgur.com/YiNTB.jpg?s=256&g=1,OopsUser,https://stackoverflow.com/users/443878/oopsuser,None,None,None,62.0,2022-05-26
"pandas,python",True,28,72392372.0,2,1,1653572576,1653570174,72392267,CC BY-SA 4.0,https://stackoverflow.com/questions/72392267/pandas-create-a-color-for-each-two-value-pair,Pandas create a color for each two value pair,2072,221270,registered,https://www.gravatar.com/avatar/cf9ea3641a4e5ca694a8efa33198aad8?s=256&d=identicon&r=PG,honeymoon,https://stackoverflow.com/users/221270/honeymoon,None,None,None,90.0,2022-05-26
"pandas,python",True,53,72390844.0,2,1,1653678198,1653562982,72390776,CC BY-SA 4.0,https://stackoverflow.com/questions/72390776/creating-a-new-column-based-on-conditions-for-other-columns,Creating a new column based on conditions for other columns,33,18066556,registered,https://www.gravatar.com/avatar/2e4d7b642ae4751ca3422a555ac83168?s=256&d=identicon&r=PG,Abir,https://stackoverflow.com/users/18066556/abir,1653678198.0,None,None,None,2022-05-26
"dataframe,multi-index,numpy,pandas,python",True,66,72391140.0,2,1,1653657362,1653559041,72389994,CC BY-SA 4.0,https://stackoverflow.com/questions/72389994/pandas-multiindex-pair-only-for-top-and-bottom-n-rows,pandas multiIndex pair only for top and bottom n rows,5980,10829044,registered,https://lh3.googleusercontent.com/-XkVFAldxdns/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYw7mFQ9BqeKrYJYmarsmObRK9Lsw/mo/photo.jpg?sz=256,The Great,https://stackoverflow.com/users/10829044/the-great,1653562379.0,None,None,None,2022-05-26
"dataframe,pandas,python",True,45,None,1,1,1653559134,1653554149,72389002,CC BY-SA 4.0,https://stackoverflow.com/questions/72389002/how-can-i-get-group-by-specific-row,How can I get group by specific row,11,19204871,registered,https://lh3.googleusercontent.com/a/AATXAJzoa8Y1_SY4xO6NDbjNvPdrz1FeaX6_5P0XJf7U=k-s256,sunghwan jang,https://stackoverflow.com/users/19204871/sunghwan-jang,1653559134.0,None,None,None,2022-05-26
"dataframe,dictionary,pandas,python",True,71,None,2,1,1653618740,1653597288,72397751,CC BY-SA 4.0,https://stackoverflow.com/questions/72397751/converting-keys-of-pandas-df-of-dictionaries-to-columns-and-values-as-data,Converting Keys of Pandas DF of Dictionaries to Columns and values as Data,65,17363182,registered,https://www.gravatar.com/avatar/03478b986a6bf0221130ac1940dee448?s=256&d=identicon&r=PG,redwytnblakII,https://stackoverflow.com/users/17363182/redwytnblakii,1653605747.0,None,None,None,2022-05-26
"pandas,python,python-3.x",True,44,72397943.0,2,1,1653661303,1653596376,72397613,CC BY-SA 4.0,https://stackoverflow.com/questions/72397613/rolling-sum-across-subsets,Rolling sum across subsets,97,14487374,registered,https://www.gravatar.com/avatar/1ee9152cf0bd2c71af6012d89313e572?s=256&d=identicon&r=PG&f=1,OldKingCole,https://stackoverflow.com/users/14487374/oldkingcole,1653659981.0,None,None,None,2022-05-26
"dask,nan,pandas,python",True,33,72397107.0,1,1,1653593523,1653592857,72396970,CC BY-SA 4.0,https://stackoverflow.com/questions/72396970/filling-nas-to-string-0-and-then-to-int-reverts-to-float,Filling NAs to string 0 and then to int reverts to float,433,8484885,registered,https://graph.facebook.com/1829741557043662/picture?type=large,James,https://stackoverflow.com/users/8484885/james,1653593293.0,None,None,None,2022-05-26
"dataframe,pandas,python,python-3.x,xlsxwriter",True,23,None,1,1,1653586215,1653584869,72395574,CC BY-SA 4.0,https://stackoverflow.com/questions/72395574/how-to-change-the-formatting-of-the-url-fields-when-exporting-from-pandas-to-exc,How to change the formatting of the URL fields when exporting from pandas to excel using xlsxwriter?,47,18032685,registered,https://www.gravatar.com/avatar/2a797b4aad8a5802ddfb0b208a299fb7?s=256&d=identicon&r=PG,Michal,https://stackoverflow.com/users/18032685/michal,None,None,None,None,2022-05-26
"pandas,python",True,34,None,2,1,1653585362,1653583508,72395263,CC BY-SA 4.0,https://stackoverflow.com/questions/72395263/create-lists-of-values-reading-data-from-csv-pandas,Create lists of values reading data from csv pandas,11,19160419,registered,https://lh3.googleusercontent.com/a/AATXAJw7E8leoOnI6N-23foQU1tymMcOWEj38vgeHDay=k-s256,batardavelo,https://stackoverflow.com/users/19160419/batardavelo,None,None,None,None,2022-05-26
"pandas,python",True,43,72417788.0,1,1,1653758675,1653579572,72394438,CC BY-SA 4.0,https://stackoverflow.com/questions/72394438/can-i-modify-pd-series-value-counts-so-that-by-default-dropna-false,Can I modify pd.Series.value_counts so that by default `dropna=False`?,86,11194619,registered,https://www.gravatar.com/avatar/9d927dac8a196d7689336f4c41bad361?s=256&d=identicon&r=PG&f=1,owen,https://stackoverflow.com/users/11194619/owen,None,None,None,None,2022-05-26
"csv,json,jupyter,pandas,python",True,21,None,1,1,1653570630,1653570305,72392299,CC BY-SA 4.0,https://stackoverflow.com/questions/72392299/i-was-converting-my-csv-file-to-json-using-pandas-but-i-get-the-error-from-jupy,"I was converting my CSV file to JSON using pandas but, I get the error from Jupyter TypeError: to_json() got an unexpected keyword argument &#39;indent&#39;",11,13039986,registered,https://graph.facebook.com/2740526376068184/picture?type=large,Umar Ali Siddiqui,https://stackoverflow.com/users/13039986/umar-ali-siddiqui,None,None,None,None,2022-05-26
"conditional-statements,datetime,pandas,python,sum",True,36,72392021.0,1,1,1653582275,1653568201,72391840,CC BY-SA 4.0,https://stackoverflow.com/questions/72391840/if-values-in-multiple-columns-match-another-dataframe-get-sum-based-on-range-of,"If values in multiple columns match another dataframe, get sum based on range of dates pandas",301,12748319,registered,https://i.stack.imgur.com/k8MGg.jpg?s=256&g=1,ker_laeda86,https://stackoverflow.com/users/12748319/ker-laeda86,1653571313.0,None,None,None,2022-05-26
"dataframe,pandas,pandas-groupby",True,23,72391805.0,1,1,1653569839,1653566382,72391472,CC BY-SA 4.0,https://stackoverflow.com/questions/72391472/how-to-merge-multiple-row-into-one-row-given-two-column,How to merge multiple row into one row given two column?,33,8849216,registered,https://graph.facebook.com/528783964131033/picture?type=large,Nicolas,https://stackoverflow.com/users/8849216/nicolas,1653569839.0,None,None,None,2022-05-26
"dataframe,pandas,python,string",True,31,72391068.0,1,1,1653564436,1653563970,72390987,CC BY-SA 4.0,https://stackoverflow.com/questions/72390987/dataframe-take-rows-that-have-exactly-one-occurence-of-a-value-from-list,Dataframe take rows that have exactly one occurence of a value from list,69,18895773,registered,https://lh3.googleusercontent.com/a/AATXAJzzNjI0BHwycYSPtL0Ry6CiBCL-wTf-zD_RgyEt=k-s256,Petar Ulev,https://stackoverflow.com/users/18895773/petar-ulev,1653564276.0,None,None,None,2022-05-26
"dataframe,multi-index,numpy,pandas,python",True,25,72389599.0,1,1,1653557542,1653556927,72389561,CC BY-SA 4.0,https://stackoverflow.com/questions/72389561/pandas-multindex-from-product-ignore-same-row-comparison,pandas multIndex from product - ignore same row comparison,5980,10829044,registered,https://lh3.googleusercontent.com/-XkVFAldxdns/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYw7mFQ9BqeKrYJYmarsmObRK9Lsw/mo/photo.jpg?sz=256,The Great,https://stackoverflow.com/users/10829044/the-great,None,None,None,None,2022-05-26
"dataframe,numpy,pandas,pandas-groupby,python",True,43,72387204.0,1,1,1653551741,1653542982,72387117,CC BY-SA 4.0,https://stackoverflow.com/questions/72387117/dynamic-top-3-and-percentage-total-using-pandas-groupby,Dynamic top 3 and percentage total using pandas groupby,5980,10829044,registered,https://lh3.googleusercontent.com/-XkVFAldxdns/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYw7mFQ9BqeKrYJYmarsmObRK9Lsw/mo/photo.jpg?sz=256,The Great,https://stackoverflow.com/users/10829044/the-great,1653546716.0,None,None,None,2022-05-26
"dataframe,pandas,python",True,28,72386898.0,1,1,1653560453,1653541118,72386876,CC BY-SA 4.0,https://stackoverflow.com/questions/72386876/problem-with-converting-matplotlib-plot-into-a-pd-dataframe,Problem with Converting matplotlib plot into a PD Dataframe?,33,14622342,registered,https://lh3.googleusercontent.com/a-/AOh14Ggwp6SbTv2hCk9WoBg9N6Z1-ZK04-iddXqiTMHHMA=k-s256,Imtiaz Shuvo,https://stackoverflow.com/users/14622342/imtiaz-shuvo,1653560453.0,None,None,None,2022-05-26
"dataframe,pandas,python-3.x,regex",True,44,72386830.0,3,1,1653564818,1653537705,72386538,CC BY-SA 4.0,https://stackoverflow.com/questions/72386538/what-is-the-regex-expression-for-substituting-every-second-occurrence-of-a-word,What is the Regex expression for substituting every second occurrence of a word in a string?,17,9199604,registered,https://lh3.googleusercontent.com/-K4CBniVnCNo/AAAAAAAAAAI/AAAAAAAAE6Y/vdEIm8zA_1s/photo.jpg?sz=256,Saiham Rahman,https://stackoverflow.com/users/9199604/saiham-rahman,1653564818.0,None,None,None,2022-05-26
pandas,False,28,None,3,1,1653627765,1653607422,72398987,CC BY-SA 4.0,https://stackoverflow.com/questions/72398987/combine-unequal-length-lists-to-dataframe-pandas-with-values-repeating,Combine unequal length lists to dataframe pandas with values repeating,696,9938682,registered,https://graph.facebook.com/10204840077717533/picture?type=large,Sayonti ,https://stackoverflow.com/users/9938682/sayonti,1653607820.0,None,None,None,2022-05-26
"dataframe,pandas,styler",False,39,None,0,1,1653619914,1653605661,72398802,CC BY-SA 4.0,https://stackoverflow.com/questions/72398802/manipulating-data-after-styling,Manipulating data after styling,11,19210181,registered,https://www.gravatar.com/avatar/34b257305f7a9e8d639e9598ea5d5d19?s=256&d=identicon&r=PG,user19210181,https://stackoverflow.com/users/19210181/user19210181,1653619914.0,None,None,None,2022-05-26
"dataframe,datetime,pandas,python",False,27,None,2,1,1653619418,1653603928,72398605,CC BY-SA 4.0,https://stackoverflow.com/questions/72398605/segmenting-a-dataframe-based-on-date-with-datetime-column-python,Segmenting a dataframe based on date with datetime column. Python,11,18444980,registered,https://lh3.googleusercontent.com/a/AATXAJyqs-55xaouMsSvwzXkhn2XorEI-kRIl3SAH5SQ=k-s256,rzan1,https://stackoverflow.com/users/18444980/rzan1,1653603952.0,None,None,None,2022-05-26
"dataframe,pandas,python",False,84,None,1,1,1653942469,1653586062,72395774,CC BY-SA 4.0,https://stackoverflow.com/questions/72395774/python-data-munging-differences-in-data-frames,Python Data Munging | Differences in Data Frames,105,18084286,registered,https://www.gravatar.com/avatar/3d5db60c5c6a78f8f5c1b4efff60b3d9?s=256&d=identicon&r=PG,HelpMeCode,https://stackoverflow.com/users/18084286/helpmecode,1653671779.0,None,None,None,2022-05-26
"optimization,pandas,python,python-3.x",False,62,None,0,1,1653582586,1653579722,72394475,CC BY-SA 4.0,https://stackoverflow.com/questions/72394475/reduce-runtime-by-simplifying-a-piece-of-code-which-i-am-using-at-many-places-in,Reduce runtime by simplifying a piece of code which I am using at many places in my solution?,21,8898382,registered,https://graph.facebook.com/10205955903737205/picture?type=large,Vidisha Kanodia,https://stackoverflow.com/users/8898382/vidisha-kanodia,1653582586.0,None,None,None,2022-05-26
"dataframe,excel,jupyter-notebook,pandas,python",False,28,None,0,1,1653578855,1653577727,72394005,CC BY-SA 4.0,https://stackoverflow.com/questions/72394005/save-excel-file-to-local-storage-from-jupyter-using-python,Save excel file to local storage from Jupyter using python,41,18734161,registered,https://www.gravatar.com/avatar/6ca21a463f5744d24bc10accad016a91?s=256&d=identicon&r=PG&f=1,user18734161,https://stackoverflow.com/users/18734161/user18734161,1653578795.0,None,None,None,2022-05-26
"pandas,python",False,36,None,2,1,1653580493,1653576466,72393730,CC BY-SA 4.0,https://stackoverflow.com/questions/72393730/how-get-first-line-from-pandas-and-iterate-columns-values,How get first line from Pandas and iterate columns values?,11,19207546,registered,https://www.gravatar.com/avatar/97cf458c0ef5f10374d8127f05d752ed?s=256&d=identicon&r=PG,Nanina,https://stackoverflow.com/users/19207546/nanina,1653577364.0,None,None,None,2022-05-26
"pandas,parquet,python",False,22,None,0,1,1653576881,1653576448,72393724,CC BY-SA 4.0,https://stackoverflow.com/questions/72393724/how-to-read-multiple-parquet-files-from-a-directory-without-concatenating-the-cr,How to read multiple parquet files from a directory without concatenating the created dfs?,11,19207489,registered,https://www.gravatar.com/avatar/001bc831817040e0baf69df207a8cd9e?s=256&d=identicon&r=PG,Pylot,https://stackoverflow.com/users/19207489/pylot,1653576881.0,None,None,None,2022-05-26
"jupyter-notebook,pandas,python,python-3.x",True,50,72394542.0,1,1,1653588907,1653576257,72393672,None,https://stackoverflow.com/questions/72393672/highlight-rows-in-dataframe-based-on-condition,Highlight rows in dataframe based on condition,27,19095548,registered,https://lh3.googleusercontent.com/a/AATXAJyIT4_M7XdQe6CCKl9Iol2P1tYMd3Yec8gOEGOw=k-s256,donald smith,https://stackoverflow.com/users/19095548/donald-smith,1653577102.0,1653618534.0,Duplicate,None,2022-05-26
"pandas,python,split,string,tableau-desktop",False,46,None,2,1,1653574663,1653570031,72392239,CC BY-SA 4.0,https://stackoverflow.com/questions/72392239/how-to-count-on-check-all-that-apply-options,How to count on Check all that apply options?,311,11001783,registered,https://i.stack.imgur.com/mFr0b.gif?s=256&g=1,Sandy,https://stackoverflow.com/users/11001783/sandy,None,None,None,None,2022-05-26
"pandas,python",True,14,72389553.0,1,1,1653556912,1653556641,72389493,CC BY-SA 4.0,https://stackoverflow.com/questions/72389493/replacing-values-in-pandas-dataframe-using-values-in-a-list,Replacing values in pandas dataframe using values in a list,46,18790246,registered,https://www.gravatar.com/avatar/ba1a4389ad7b2c3c62cce3263e0023d6?s=256&d=identicon&r=PG&f=1,GeekGroot,https://stackoverflow.com/users/18790246/geekgroot,None,None,None,None,2022-05-26
"pandas,python",True,26,72386948.0,1,1,1653920405,1653541518,72386928,CC BY-SA 4.0,https://stackoverflow.com/questions/72386928/apply-function-on-dataframe-returns-rangeindex-error,Apply Function on Dataframe Returns RangeIndex Error,19,13008656,registered,https://www.gravatar.com/avatar/6b278a2d642214842adf4b17b8bbcca2?s=256&d=identicon&r=PG&f=1,ToddE,https://stackoverflow.com/users/13008656/todde,1653920405.0,None,None,None,2022-05-26
"csv,dataframe,dataset,pandas,python",False,38,None,1,1,1653790986,1653576607,72393760,CC BY-SA 4.0,https://stackoverflow.com/questions/72393760/read-and-concat-a-lot-of-csv-files-using-pandas,Read and concat a lot of csv files using pandas,11,18484733,registered,https://lh3.googleusercontent.com/a-/AOh14Giw85aR0H3QJ3TG7ZuCaEuiixNguL7YoLJeklg4PQ=k-s256,Luigi Montaleone,https://stackoverflow.com/users/18484733/luigi-montaleone,None,None,None,None,2022-05-26
"pandas,python",True,45,72399193.0,2,0,1653612251,1653609088,72399150,CC BY-SA 4.0,https://stackoverflow.com/questions/72399150/numbers-between-2-columns-of-integers,Numbers Between 2 Columns of Integers,105,18084286,registered,https://www.gravatar.com/avatar/3d5db60c5c6a78f8f5c1b4efff60b3d9?s=256&d=identicon&r=PG,HelpMeCode,https://stackoverflow.com/users/18084286/helpmecode,1653612251.0,None,None,None,2022-05-26
"average,dataframe,pandas,python",True,55,72401879.0,2,0,1653636309,1653566437,72391484,CC BY-SA 4.0,https://stackoverflow.com/questions/72391484/groupby-and-average-python,Groupby and average - Python,17,16040436,registered,https://lh3.googleusercontent.com/a/AATXAJwDcvBswoaWTK1tU5JM3Y0AB7G6ZFwTAwNdO4Pj=k-s256,Pavan ,https://stackoverflow.com/users/16040436/pavan,1653635552.0,None,None,None,2022-05-26
"pandas,python",True,42,72398220.0,3,0,1653619869,1653600477,72398194,CC BY-SA 4.0,https://stackoverflow.com/questions/72398194/how-to-replace-part-of-string-with-python-pandas,How to replace part of string with python pandas?,83,18441047,registered,https://lh3.googleusercontent.com/a/AATXAJySsBIqG0K8hFVm2EsutYakiqLXIVhNqdDykTWv=k-s256,Firefoxer,https://stackoverflow.com/users/18441047/firefoxer,1653600655.0,None,None,None,2022-05-26
"pandas,python",True,34,None,2,0,1653637418,1653590085,72396500,CC BY-SA 4.0,https://stackoverflow.com/questions/72396500/why-replace-substring-does-not-work-in-pandas-dataframe,Why replace substring does not work in Pandas dataframe?,87,19198235,registered,https://www.gravatar.com/avatar/56fd608eb58ec7ede93b94e92652d16e?s=256&d=identicon&r=PG,Mandalina,https://stackoverflow.com/users/19198235/mandalina,None,None,None,None,2022-05-26
"dataframe,json,pandas,python",True,28,72395387.0,1,0,1653584272,1653583650,72395299,CC BY-SA 4.0,https://stackoverflow.com/questions/72395299/transforming-multiple-columns-into-a-list-of-nested-dictionaries-in-pandas,Transforming multiple columns into a list of nested dictionaries in pandas,389,10713420,registered,https://www.gravatar.com/avatar/8f3c12120e47a4e448654f110ca0ae28?s=256&d=identicon&r=PG&f=1,NAB0815,https://stackoverflow.com/users/10713420/nab0815,1653584272.0,None,None,None,2022-05-26
"pandas,python",True,43,72393579.0,3,0,1653575888,1653573052,72392929,CC BY-SA 4.0,https://stackoverflow.com/questions/72392929/list-object-has-no-attribute-to-csv,list&#39; object has no attribute &#39;to_csv,99,18081268,registered,https://lh3.googleusercontent.com/a/AATXAJwO0LU-AeEUOHJmK8rZRmk0WQxZ9sCzzWhT3G_e=k-s256,Katja,https://stackoverflow.com/users/18081268/katja,1653575633.0,None,None,None,2022-05-26
"dataframe,pandas,python",True,52,72391830.0,2,0,1653570420,1653563965,72390986,CC BY-SA 4.0,https://stackoverflow.com/questions/72390986/pandas-dataframe-list-iteration-with-datetime,Pandas dataframe list iteration with datetime,433,10314605,registered,https://lh4.googleusercontent.com/-lQv_GNCHeBk/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaMfTA0X4kPYnQ3XeMnuWVMD18O9RA/mo/photo.jpg?sz=256,pythonNinja,https://stackoverflow.com/users/10314605/pythonninja,1653565951.0,None,None,None,2022-05-26
pandas,True,32,72387704.0,2,0,1653920329,1653546708,72387661,CC BY-SA 4.0,https://stackoverflow.com/questions/72387661/how-to-use-np-where-nested-in-data-frame-with-pandas,How to use np.where nested in data frame with pandas?,39,14276532,registered,https://www.gravatar.com/avatar/804aefe44ea94b58382879f92597ad66?s=256&d=identicon&r=PG&f=1,lacrucec38x,https://stackoverflow.com/users/14276532/lacrucec38x,1653920329.0,None,None,None,2022-05-26
"dictionary,json,pandas,python,sorting",True,48,None,1,0,1653608794,1653606349,72398882,CC BY-SA 4.0,https://stackoverflow.com/questions/72398882/prevent-todict-sorting-keys,Prevent toDict sorting keys,59,17710490,registered,https://www.gravatar.com/avatar/c89a86ebb82ad927cc405341e80d2a4c?s=256&d=identicon&r=PG,crazyDev,https://stackoverflow.com/users/17710490/crazydev,1653607211.0,None,None,None,2022-05-26
"lambda,pandas,python",True,26,72399073.0,4,0,1653608222,1653601157,72398290,CC BY-SA 4.0,https://stackoverflow.com/questions/72398290/change-first-section-of-value-in-dataframe-with-another-value,Change first section of value in dataframe with another value,41,16456795,registered,https://lh3.googleusercontent.com/a/AATXAJxyaVFHN97RSPKJssguc6ZEkNBKG__00C37uEAu=k-s256,davida28,https://stackoverflow.com/users/16456795/davida28,None,None,None,None,2022-05-26
"pandas,python",True,33,72398478.0,1,0,1653602959,1653598915,72397970,CC BY-SA 4.0,https://stackoverflow.com/questions/72397970/insert-2-blank-rows-in-df-by-group,Insert 2 Blank Rows In DF by Group,87,14443410,registered,https://www.gravatar.com/avatar/13ea9a9131ae88030d1468c89e38b73b?s=256&d=identicon&r=PG&f=1,Tickets2Moontown,https://stackoverflow.com/users/14443410/tickets2moontown,1653600532.0,None,None,None,2022-05-26
